Date,Day,People Tested - Total,People Positive - Total,People Not-Positive - Total,People Tested - Age 0-17,People Tested - Age 18-29,People Tested - Age 30-39,People Tested - Age 40-49,People Tested - Age 50-59,People Tested - Age 60-69,People Tested - Age 70-79,People Tested - Age 80+,People Tested - Age Unknown,People Tested - Female,People Tested - Male,People Tested - Gender Unknown,People Tested - Latinx,People Tested - Asian Non-Latinx,People Tested - Black Non-Latinx,People Tested - White Non-Latinx,People Tested - Other Race Non-Latinx,People Tested - Unknown Race/Ethnicity,People Positive - Age 0-17,People Positive - Age 18-29,People Positive - Age 30-30,People Positive - Age 40-49,People Positive - Age 50-59,People Positive - Age 60-69,People Positive - Age 70-79,People Positive - Age 80+,People Positive - Age Unknown,People Positive - Female,People Positive - Male,People Positive - Gender Unknown,People Positive - Latinx,People Positive - Asian Non-Latinx,People Positive - Black Non-Latinx,People Positive - White Non-Latinx,People Positive - Other Race Non-Latinx,People Positive - Unknown Race/Ethnicity,People Not-Positive - Age 0-17,People Not-Positive - Age 18-29,People Not-Positive - Age 30-39,People Not-Positive - Age 40-49,People Not-Positive - Age 50-59,People Not-Positive - Age 60-69,People Not-Positive - Age 70-79,People Not-Positive - Age 80+,People Not-Positive - Age Unknown,People Not-Positive - Female,People Not-Positive - Male,People Not-Positive - Gender Unknown,People Not-Positive - Latinx,People Not-Positive - Asian Non-Latinx,People Not-Positive - Black Non-Latinx,People Not-Positive - White Non-Latinx,People Not-Positive - Other Race Non-Latinx,People Not-Positive - Unknown Race/Ethnicity
08/08/2020,Saturday,2775,177,2598,284,731,521,377,309,295,148,89,21,1481,1256,38,334,66,515,593,121,1146,22,56,27,32,18,14,3,5,0,94,81,2,66,6,39,34,8,24,262,675,494,345,291,281,145,84,21,1387,1175,36,268,60,476,559,113,1122
03/29/2020,Sunday,761,282,479,12,88,159,140,132,125,66,39,0,372,388,1,67,16,211,101,25,341,4,29,48,54,50,50,30,17,0,128,154,0,54,11,145,39,10,23,8,59,111,86,82,75,36,22,0,244,234,1,13,5,66,62,15,318
04/06/2020,Monday,1656,584,1072,31,240,325,283,305,266,124,82,0,899,743,14,191,46,413,258,76,672,5,78,97,102,111,94,56,41,0,301,273,10,137,20,233,97,26,71,26,162,228,181,194,172,68,41,0,598,470,4,54,26,180,161,50,601
08/19/2020,Wednesday,5384,470,4914,674,1655,1175,648,552,375,208,93,4,2956,2366,62,1063,159,855,1210,212,1885,55,144,84,57,71,39,13,7,0,250,219,1,205,4,80,91,23,67,619,1511,1091,591,481,336,195,86,4,2706,2147,61,858,155,775,1119,189,1818
04/28/2020,Tuesday,4246,1322,2924,196,764,792,758,733,557,269,171,6,2126,1939,181,929,71,562,483,246,1955,68,246,232,253,247,156,68,52,0,619,673,30,573,16,241,105,83,304,128,518,560,505,486,401,201,119,6,1507,1266,151,356,55,321,378,163,1651
07/04/2020,Saturday,1011,62,949,96,216,189,115,122,129,88,56,0,533,471,7,57,29,248,268,39,370,8,15,10,13,6,7,2,1,0,32,28,2,12,1,17,12,3,17,88,201,179,102,116,122,86,55,0,501,443,5,45,28,231,256,36,353
04/19/2020,Sunday,1390,461,929,50,242,267,208,214,194,112,102,1,690,691,9,243,58,348,222,79,440,7,67,61,66,75,75,50,60,0,209,250,2,142,21,172,54,23,49,43,175,206,142,139,119,62,42,1,481,441,7,101,37,176,168,56,391
06/30/2020,Tuesday,5309,266,5043,386,1425,1200,746,643,469,250,167,23,2901,2233,175,739,96,881,1120,169,2304,25,92,59,39,24,16,5,6,0,136,129,1,107,3,53,48,3,52,361,1333,1141,707,619,453,245,161,23,2765,2104,174,632,93,828,1072,166,2252
05/16/2020,Saturday,3203,516,2687,202,506,517,480,518,479,337,162,2,1752,1389,62,477,42,474,387,109,1714,35,107,87,93,77,60,35,22,0,279,231,6,203,11,98,51,16,137,167,399,430,387,441,419,302,140,2,1473,1158,56,274,31,376,336,93,1577
05/02/2020,Saturday,2378,717,1661,128,451,451,447,405,275,128,92,1,1205,1139,34,568,38,376,275,69,1052,25,142,126,154,141,74,40,15,0,342,371,4,352,9,108,54,21,173,103,309,325,293,264,201,88,77,1,863,768,30,216,29,268,221,48,879
05/08/2020,Friday,4384,924,3460,239,791,886,768,700,515,297,178,10,2183,1991,210,885,66,567,486,151,2229,52,169,191,196,153,85,44,34,0,441,464,19,435,16,138,77,43,215,187,622,695,572,547,430,253,144,10,1742,1527,191,450,50,429,409,108,2014
06/12/2020,Friday,4427,247,4180,285,1007,944,624,622,512,268,155,10,2381,1918,128,634,99,638,776,200,2080,32,60,42,46,27,21,8,11,0,140,103,4,127,2,40,22,6,50,253,947,902,578,595,491,260,144,10,2241,1815,124,507,97,598,754,194,2030
03/02/2020,Monday,9,0,9,0,1,3,3,1,0,1,0,0,6,2,1,2,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,1,0,0,6,2,1,2,1,0,2,0,4
05/05/2020,Tuesday,4309,1090,3219,248,785,801,731,730,550,279,183,2,2135,1989,185,863,67,599,519,144,2117,54,206,206,218,206,125,48,27,0,550,500,40,487,16,160,96,48,283,194,579,595,513,524,425,231,156,2,1585,1489,145,376,51,439,423,96,1834
07/11/2020,Saturday,2886,155,2731,213,714,628,362,346,331,196,95,1,1559,1301,26,204,60,547,589,140,1346,9,69,22,22,13,12,8,0,0,79,76,0,33,3,43,34,13,29,204,645,606,340,333,319,188,95,1,1480,1225,26,171,57,504,555,127,1317
09/20/2020,Sunday,1977,101,1876,172,884,332,148,177,146,80,35,3,1033,940,4,174,178,284,490,71,780,13,27,26,12,9,5,7,2,0,51,49,1,23,2,13,16,2,45,159,857,306,136,168,141,73,33,3,982,891,3,151,176,271,474,69,735
08/20/2020,Thursday,5252,402,4850,666,1506,1066,662,585,416,241,109,1,2871,2294,87,1052,179,808,1313,233,1667,46,115,77,60,59,31,10,4,0,222,176,4,170,6,70,82,16,58,620,1391,989,602,526,385,231,105,1,2649,2118,83,882,173,738,1231,217,1609
09/02/2020,Wednesday,4692,403,4289,491,1423,1077,574,473,357,201,91,5,2569,2070,53,793,174,764,1022,159,1780,41,125,82,66,46,25,12,6,0,222,181,0,162,7,58,86,14,76,450,1298,995,508,427,332,189,85,5,2347,1889,53,631,167,706,936,145,1704
03/11/2020,Wednesday,61,12,49,5,13,12,12,8,7,2,1,1,37,19,5,10,1,8,13,3,26,0,3,1,3,3,2,0,0,0,3,9,0,2,0,5,5,0,0,5,10,11,9,5,5,2,1,1,34,10,5,8,1,3,8,3,26
09/15/2020,Tuesday,4498,348,4150,464,1285,973,511,494,410,247,112,2,2395,2044,59,800,141,651,1056,177,1673,54,95,67,48,41,26,14,3,0,185,162,1,150,4,42,70,11,71,410,1190,906,463,453,384,233,109,2,2210,1882,58,650,137,609,986,166,1602
05/18/2020,Monday,5565,947,4618,357,1005,970,877,870,774,447,252,13,2916,2469,180,1210,80,811,621,137,2706,67,236,152,190,149,83,46,23,1,496,439,12,428,10,146,70,37,256,290,769,818,687,721,691,401,229,12,2420,2030,168,782,70,665,551,100,2450
06/25/2020,Thursday,4499,247,4252,299,1056,972,635,610,529,267,119,12,2352,2004,143,581,67,841,764,141,2105,21,68,65,37,21,20,11,4,0,123,124,0,85,3,56,42,10,51,278,988,907,598,589,509,256,115,12,2229,1880,143,496,64,785,722,131,2054
08/11/2020,Tuesday,5505,384,5121,552,1604,1128,703,607,521,251,136,3,3002,2409,94,971,139,1069,1248,207,1871,47,102,73,67,48,37,7,3,0,182,200,2,160,4,74,76,16,54,505,1502,1055,636,559,484,244,133,3,2820,2209,92,811,135,995,1172,191,1817
08/16/2020,Sunday,1832,123,1709,187,489,408,210,198,168,109,61,2,962,865,5,196,64,344,509,77,642,10,40,29,9,16,10,7,1,1,58,63,2,27,6,19,41,10,20,177,449,379,201,182,158,102,60,1,904,802,3,169,58,325,468,67,622
09/16/2020,Wednesday,4098,360,3738,476,1183,942,497,411,297,192,98,2,2219,1759,120,711,136,619,847,148,1637,48,115,77,47,34,25,11,3,0,203,155,2,166,5,49,64,4,72,428,1068,865,450,377,272,181,95,2,2016,1604,118,545,131,570,783,144,1565
03/21/2020,Saturday,547,125,422,21,88,146,95,73,60,43,16,5,278,265,4,44,29,156,120,29,169,0,18,25,20,28,16,13,5,0,53,72,0,25,6,61,26,3,4,21,70,121,75,45,44,30,11,5,225,193,4,19,23,95,94,26,165
,,259,139,120,15,48,37,38,39,24,25,22,11,128,122,9,37,6,76,37,17,86,4,31,27,25,24,13,10,4,1,68,65,6,23,6,38,11,6,55,11,17,10,13,15,11,15,18,10,60,57,3,14,0,38,26,11,31
06/27/2020,Saturday,2853,130,2723,184,658,543,381,365,372,231,113,6,1517,1278,58,277,53,470,576,128,1349,11,41,21,24,13,10,7,3,0,64,65,1,44,2,33,21,6,24,173,617,522,357,352,362,224,110,6,1453,1213,57,233,51,437,555,122,1325
05/12/2020,Tuesday,4439,943,3496,284,820,830,742,680,559,329,187,8,2331,2017,91,940,63,657,586,131,2062,64,178,177,182,162,92,50,38,0,493,445,5,440,10,169,100,21,203,220,642,653,560,518,467,279,149,8,1838,1572,86,500,53,488,486,110,1859
05/31/2020,Sunday,1243,121,1122,85,244,254,188,175,148,88,60,1,677,556,10,123,17,284,239,33,547,16,28,20,22,12,13,5,5,0,59,61,1,45,1,40,7,0,28,69,216,234,166,163,135,83,55,1,618,495,9,78,16,244,232,33,519
