Date,Day,People Tested - Total,People Positive - Total,People Not-Positive - Total,People Tested - Age 0-17,People Tested - Age 18-29,People Tested - Age 30-39,People Tested - Age 40-49,People Tested - Age 50-59,People Tested - Age 60-69,People Tested - Age 70-79,People Tested - Age 80+,People Tested - Age Unknown,People Tested - Female,People Tested - Male,People Tested - Gender Unknown,People Tested - Latinx,People Tested - Asian Non-Latinx,People Tested - Black Non-Latinx,People Tested - White Non-Latinx,People Tested - Other Race Non-Latinx,People Tested - Unknown Race/Ethnicity,People Positive - Age 0-17,People Positive - Age 18-29,People Positive - Age 30-30,People Positive - Age 40-49,People Positive - Age 50-59,People Positive - Age 60-69,People Positive - Age 70-79,People Positive - Age 80+,People Positive - Age Unknown,People Positive - Female,People Positive - Male,People Positive - Gender Unknown,People Positive - Latinx,People Positive - Asian Non-Latinx,People Positive - Black Non-Latinx,People Positive - White Non-Latinx,People Positive - Other Race Non-Latinx,People Positive - Unknown Race/Ethnicity,People Not-Positive - Age 0-17,People Not-Positive - Age 18-29,People Not-Positive - Age 30-39,People Not-Positive - Age 40-49,People Not-Positive - Age 50-59,People Not-Positive - Age 60-69,People Not-Positive - Age 70-79,People Not-Positive - Age 80+,People Not-Positive - Age Unknown,People Not-Positive - Female,People Not-Positive - Male,People Not-Positive - Gender Unknown,People Not-Positive - Latinx,People Not-Positive - Asian Non-Latinx,People Not-Positive - Black Non-Latinx,People Not-Positive - White Non-Latinx,People Not-Positive - Other Race Non-Latinx,People Not-Positive - Unknown Race/Ethnicity
09/03/2020,Thursday,3846,333,3513,442,1123,876,495,397,283,148,79,3,2006,1761,79,655,98,568,754,127,1644,37,99,59,49,49,22,13,5,0,176,155,2,135,5,53,83,6,51,405,1024,817,446,348,261,135,74,3,1830,1606,77,520,93,515,671,121,1593
05/07/2020,Thursday,3855,938,2917,251,734,754,662,599,470,228,149,8,1986,1690,179,872,37,542,429,172,1803,58,179,194,171,147,116,40,33,0,480,447,11,434,10,123,90,47,234,193,555,560,491,452,354,188,116,8,1506,1243,168,438,27,419,339,125,1569
03/30/2020,Monday,1259,440,819,28,185,268,225,215,181,96,61,0,694,560,5,117,29,340,193,53,527,6,54,79,81,82,59,43,36,0,217,223,0,85,12,210,78,17,38,22,131,189,144,133,122,53,25,0,477,337,5,32,17,130,115,36,489
05/22/2020,Friday,4703,726,3977,292,884,919,740,761,588,298,202,19,2359,2175,169,963,63,770,497,151,2259,64,155,135,126,112,74,35,25,0,369,347,10,349,10,145,61,25,136,228,729,784,614,649,514,263,177,19,1990,1828,159,614,53,625,436,126,2123
05/13/2020,Wednesday,4155,875,3280,275,845,815,706,663,432,266,144,9,2148,1911,96,979,64,588,513,139,1872,56,188,166,163,134,96,40,32,0,449,419,7,419,14,122,68,28,224,219,657,649,543,529,336,226,112,9,1699,1492,89,560,50,466,445,111,1648
03/12/2020,Thursday,94,21,73,8,19,20,11,14,6,7,3,6,43,49,2,8,0,9,25,3,49,0,6,5,2,4,3,1,0,0,6,15,0,2,0,2,15,0,2,8,13,15,9,10,3,6,3,6,37,34,2,6,0,7,10,3,47
04/12/2020,Sunday,970,341,629,63,137,173,146,181,114,94,61,1,444,496,30,131,19,223,148,50,399,28,32,56,54,60,46,34,31,0,142,182,17,91,7,116,56,21,50,35,105,117,92,121,68,60,30,1,302,314,13,40,12,107,92,29,349
03/18/2020,Wednesday,706,162,544,34,154,164,111,93,71,48,27,4,382,319,5,41,23,200,181,23,238,2,31,32,40,23,18,11,5,0,80,82,0,19,8,64,62,3,6,32,123,132,71,70,53,37,22,4,302,237,5,22,15,136,119,20,232
03/17/2020,Tuesday,545,96,449,25,109,132,77,77,68,31,24,2,281,249,15,33,13,96,143,23,237,0,15,21,18,17,19,2,4,0,37,58,1,7,3,38,40,3,5,25,94,111,59,60,49,29,20,2,244,191,14,26,10,58,103,20,232
07/25/2020,Saturday,2942,161,2781,279,664,612,367,377,347,210,86,0,1603,1319,20,372,83,592,664,104,1127,29,36,35,25,16,8,9,3,0,83,78,0,58,7,35,32,9,20,250,628,577,342,361,339,201,83,0,1520,1241,20,314,76,557,632,95,1107
